"dms.lat"	"dms.lon"
"N41:54:0.005"	"E12:30:36.001"
"N41:52:48.004"	"E12:29:23.999"
"N30:36:36.002"	"E34:47:59.997"
"N41:23:23.998"	"E2:9:36"
"N45:3:36.005"	"E7:35:24.001"
"N47:35:24.001"	"E19:21:36.002"
"N30:51:0.001"	"E34:46:47.996"
"N48:9:0.005"	"E11:34:48"
"N35:18:36.005"	"E25:8:59.999"
"N47:28:47.998"	"E19:5:24.001"
"N47:30:0"	"E19:2:24.003"
"N47:30:0"	"E19:6:36.002"
"N48:0:0"	"E7:51:0"
"N43:37:11.996"	"E3:52:12"
"N45:15:0"	"E4:40:12"
"N45:46:47.996"	"E4:52:12"
"N48:42:35.997"	"E2:10:48"
"N43:17:24.003"	"E5:24:0"
"N44:20:59.995"	"E5:42:36"
"N43:40:48.001"	"E3:52:48"
"N48:50:24.001"	"E2:18:36"
"N48:51:36.002"	"E2:21:36"
"N46:52:11.996"	"W1:0:0"
"N48:21:36.002"	"W4:33:36"
"N48:51:36.002"	"E2:19:48"
"N43:40:48.001"	"E3:52:48"
"N43:40:48.001"	"E3:52:48"
"N48:50:24.001"	"E2:21:36"
"N48:50:24.001"	"E2:18:36"
"N43:39:0.005"	"E3:52:12"
"N43:36:36.002"	"E3:52:12"
"N43:39:0.005"	"E3:52:12"
"N43:40:48.001"	"E3:52:48"
"N43:39:0.005"	"E3:52:12"
"N43:37:11.996"	"E3:51:0"
"N43:37:48.004"	"E3:51:36"
"N43:37:11.996"	"E3:51:0"
"N43:40:48.001"	"E3:52:48"
"N43:39:0.005"	"E3:52:12"
"N43:36:36.002"	"E3:52:12"
"N43:39:0.005"	"E3:52:12"
"N43:38:23.998"	"E3:52:12"
"N45:47:24.003"	"E4:42:36"
"N43:40:48.001"	"E3:52:48"
"N48:48:36.005"	"E2:25:12"
"N45:47:24.003"	"E4:42:36"
"N45:43:47.998"	"E4:49:48"
"N47:14:24.006"	"E6:0:36.001"
"N43:29:24.006"	"E4:24:0"
"N43:39:35.999"	"E4:37:48"
"N43:40:11.994"	"E4:37:48"
"N60:13:47.998"	"E25:1:12.002"
"N43:31:12.002"	"E4:42:36"
"N60:17:24.003"	"E25:2:59.997"
"N62:14:24.006"	"E25:44:23.999"
"N60:12:35.997"	"E24:57:35.997"
"N60:11:23.995"	"E24:54:35.999"
"N60:13:47.998"	"E25:1:12.002"
"N60:12:35.997"	"E24:57:35.997"
"N60:11:23.995"	"E24:54:35.999"
"N60:12:35.997"	"E24:57:35.997"
"N60:12:35.997"	"E24:57:35.997"
"N59:22:11.996"	"E24:40:48.001"
"N59:24:0.005"	"E24:39:35.999"
"N60:12:35.997"	"E24:57:35.997"
"N50:5:24.001"	"E14:25:12"
"N55:46:47.996"	"E12:29:23.999"
"N49:13:12.004"	"E16:3:35.998"
"N48:43:47.998"	"E16:47:59.997"
"N49:27:35.997"	"E17:27:0.003"
"N50:4:11.999"	"E14:25:12"
"N49:50:59.995"	"E18:16:48.003"
"N49:35:59.995"	"E18:0:36.001"
"N49:50:24.001"	"E18:17:24.003"
"N48:58:47.998"	"E14:26:59.999"
"N49:12:0.003"	"E16:35:24.001"
"N49:12:35.997"	"E16:36:0.001"
"N50:24:35.999"	"E14:26:59.999"
"N50:37:11.996"	"E14:4:48"
"N50:34:48.006"	"E5:34:12.001"
"N50:40:11.994"	"E4:33:36"
"N51:16:12.002"	"E4:39:35.999"
"N50:34:48.006"	"E5:34:12.001"
"N50:14:24.006"	"E5:17:24"
"N50:34:48.006"	"E5:34:48"
"N50:49:11.999"	"E4:22:48"
"N50:34:48.006"	"E5:34:48"
"N50:54:35.999"	"E4:23:24"
"N50:40:11.994"	"E4:37:12"
"N51:13:12.004"	"E4:24:0"
"N51:16:12.002"	"E4:39:35.999"
"N51:11:23.995"	"E4:22:48"
"N48:16:47.996"	"E16:23:59.999"
"N36:45:0"	"E3:4:12"
"N36:45:0"	"E2:57:36"
"N36:45:35.994"	"E3:1:12"
"N31:57:0.003"	"E5:21:36"
"N59:56:23.995"	"E30:17:59.997"
"N53:54:0.005"	"E27:34:11.999"
"N53:54:35.999"	"E27:34:11.999"
"N63:50:59.995"	"E23:6:36.002"
"N60:15:35.994"	"E25:1:12.002"
"N44:25:48.001"	"E26:6:36.002"
"N44:26:23.995"	"E26:6:0.001"
"N45:10:48.001"	"E28:48:35.998"
"N44:32:24.003"	"E25:58:47.998"
"N44:31:12.002"	"E26:0:0"
"N34:2:59.997"	"W6:48:0.001"
"N36:45:0"	"E2:58:48"
"N42:17:59.997"	"E9:8:59.999"
"N41:55:48.001"	"E8:43:47.998"
"N40:32:59.997"	"W3:41:24"
"N48:31:47.996"	"E7:44:23.999"
"N46:4:11.999"	"E18:13:11.997"
"N46:4:11.999"	"E18:13:11.997"
"N46:4:11.999"	"E18:13:11.997"
"N41:43:36.84"	"E44:45:0.72"
"N51:17:36.6"	"W0:38:43.08"
"N41:29:29.04"	"E2:8:26.88"
"N55:45:48.6"	"E12:29:41.64"
"N39:36:57.96"	"E2:38:46.68"
"N47:22:28.56"	"E8:32:56.04"
"N41:19:33.6"	"E19:48:57.6"
"N40:26:11.04"	"W3:41:6.36"
"N53:48:59.76"	"E10:12:16.92"
"N43:34:46.56"	"E3:51:54.72"
"N40:34:39.36"	"E43:2:26.16"
"N54:11:2.4"	"E13:21:28.44"
"N48:7:51.24"	"E11:35:16.44"
"N52:32:27.96"	"E13:21:3.24"
"N50:48:42.12"	"E4:22:51.96"
